"From","To","SharedPlantRecords","ConnectionType","Basis","Source","BundleBuilt"
"Arrakis","Arizona",1399,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Isla Nublar","Arizona",205,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Middle-earth","Arizona",1679,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Arrakis","California",2047,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Isla Nublar","California",251,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Middle-earth","California",3037,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Arrakis","Maine",616,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Isla Nublar","Maine",155,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Middle-earth","Maine",1131,"World to state","Curated movie-world families","USDA PLANTS export","2026-06-15 11:17 MST"
"Arizona","California",3886,"State to state","Full state checklists","USDA PLANTS export","2026-06-15 11:17 MST"
"Arizona","Maine",1324,"State to state","Full state checklists","USDA PLANTS export","2026-06-15 11:17 MST"
"California","Maine",1768,"State to state","Full state checklists","USDA PLANTS export","2026-06-15 11:17 MST"
